title,price,rating,reviews_count,free_delivery,deal_badge,amoled,hd_display,lcd,oled,gps,bluetooth,calling,alexa,heart_rate,spo2,sleep,blood_oxygen,sports,fitness_tracker,step_counter,waterproof,ip68,ip67,5atm,men,women,kids,short_name,price_segment,is_popular
"fire-boltt ninja call pro bluetooth calling smart watch, 1.69″ hd display,dual chip,ai voice assistant, 120+ sports modes, spo2 & heart rate monitor, fitness tracker smartwatch for men & women - black",999.0,3.9,120000.0,True,,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,fire-boltt ninja call pro bluetooth,Budget,0
"fire-boltt ninja call pro plus bluetooth calling smart watch, 1.83″ hd display, ai voice assistant, 120+ sports modes, ip67 waterproof, spo2 & heart rate monitor smartwatch for men & women - black",1099.0,3.9,120000.0,True,,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,fire-boltt ninja call pro plus,Budget,0
"fastrack limitless glide x 1.83"" smart watch with ultra uv hd display, spo2, heart rate & sleep tracking, bluetooth calling, 100+ sports modes, 5-day battery, smartwatch for men & women (black)",1299.0,4.0,3600.0,True,,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,0,"fastrack limitless glide x 1.83""",Budget,1
"fire-boltt ninja call pro plus bluetooth calling smart watch, 1.83″ hd display, ai voice assistant, 120+ sports modes, ip67 waterproof, spo2 & heart rate monitor smartwatch for men & women - blue",1099.0,3.9,120000.0,True,,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,fire-boltt ninja call pro plus,Budget,0
"boat wave call 3 smartwatch 1.83” hd display with animated watch faces; bt calling, functional crown, multiple sports modes, ip68, hr, spo2 monitor, smart watches for men & women (bold black)",1399.0,4.1,25600.0,True,Amazon's,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,boat wave call 3 smartwatch,Budget,1
"fire-boltt talk round smart watch 1.39″ tft display with bluetooth calling, dual button, voice assistance, spo₂ & heart rate monitor, 120+ sports modes, smartwatch for men & women - green",1099.0,4.0,60100.0,True,Limited time deal,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt talk round smart watch,Budget,1
"fire-boltt ninja call pro max bluetooth calling smart watch, 2.01"" hd display, 120+ sports modes, health suite, ai voice assistance, spo2 & heart rate monitor smartwatch for men & women - grey",1199.0,3.9,120000.0,True,,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt ninja call pro max,Budget,0
"fire-boltt talk round smart watch 1.39″ tft display with bluetooth calling, dual button, voice assistance, spo₂ & heart rate monitor, 120+ sports modes, metal smartwatch for men & women - gold",1099.0,4.0,60100.0,True,Limited time deal,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,fire-boltt talk round smart watch,Budget,1
"noise twist round dial smart watch with bluetooth calling, 1.38"" tft display, up-to 7 days battery, 100+ watch faces, ip68, heart rate monitor, sleep tracking (jet black)",1399.0,4.0,12200.0,True,,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,noise twist round dial smart,Budget,1
"noise pulse 2 max 1.85"" display, bluetooth calling smart watch, 10 days battery, 550 nits brightness, smart dnd, 100 sports modes, smartwatch for men and women (jet black)",1499.0,4.0,24400.0,True,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"noise pulse 2 max 1.85""",Budget,1
"fire-boltt phoenix pro round smart watch 1.39″ hd display with bluetooth calling, ai voice assistant, spo2 & heart rate monitor, 120+ sports modes, ip67 waterproof smartwatch for men & women - grey",1399.0,3.9,100000.0,True,,0,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,fire-boltt phoenix pro round smart,Budget,0
"noise twist go round dial smartwatch with bt calling, 1.39"" display, metal build, 100+ watch faces, ip68, sleep tracking, 100+ sports modes, 24/7 heart rate monitoring (jet black)",1599.0,3.7,1800.0,True,,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,noise twist go round dial,Budget,0
"fire-boltt rise smart watch 1.85″ with bluetooth calling, ai voice assistant, rotating crown, spo2 & heart rate monitor, 123 sports modes, ip67 waterproof metal smartwatch for men & women - black",1299.0,4.0,40800.0,True,,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,fire-boltt rise smart watch 1.85″,Budget,1
"boat wave call 3 smartwatch 1.83” hd display with animated watch faces; bt calling, functional crown, multiple sports modes, ip68, hr, spo2 monitor, smart watches for men & women (timber brown)",1399.0,4.1,25600.0,True,,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,boat wave call 3 smartwatch,Budget,1
"fire-boltt ninja call pro bluetooth calling smart watch, 1.69″ hd display, dual chip,ai voice assistant, 120+ sports modes, spo2 & heart rate monitor, fitness tracker smartwatch for men & women - pink",999.0,3.9,120000.0,True,,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,fire-boltt ninja call pro bluetooth,Budget,0
"noise pulse 2 max 1.85"" display, bluetooth calling smart watch, 10 days battery, 550 nits brightness, smart dnd, 100 sports modes, smartwatch for men and women (deep wine)",1499.0,4.0,24400.0,True,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"noise pulse 2 max 1.85""",Budget,1
"noise pulse 2 max 1.85"" display, bluetooth calling smart watch, 10 days battery, 550 nits brightness, smart dnd, 100 sports modes, smartwatch for men and women (midnight blue)",1499.0,4.0,24400.0,True,,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,"noise pulse 2 max 1.85""",Budget,1
